Location
"""Las Vegas"
"""San Francisco"
"""Tunkhannock"
"""Orlando"
"""Kirkersville"
"""Fresno"
"""Fort Lauderdale"
"""Burlington"
"""Baton Rouge"
"""Dallas"
"""Orlando"
" MO Drive by"""
" Maryland Drive-by"""
" VA"""
"""42481"
"""42479"
"""42479"
"""42479"
"""42478"
" NM House party shooting"""
" TN gas station shooting"""
"""42467"
" NM Family restaurant shooting"""
" Virginia"""
" North Carolina"""
" Tennessee"""
" AL Family murder-suicide"""
" Texas"""
" TX Family murder-suicide"""
" Kentucky"""
" KY Family Murder-Suicide"""
" Florida"""
"""42448"
"""42448"
"""42444"
"""42442"
" Georgia murder-suicide"""
" NJ sidewalk shooting"""
"""42440"
" Pennsylvania"""
"""42438"
" Kansas"""
" LA drive by"""
"""42436"
" Massachusetts"""
" MA empty apartment party shooting"""
" GA Hookah shootout"""
"""42434"
"""42428"
"""42428"
" Virginia"""
" Washington"""
"""Hesston"
" Kansas"""
" WA Family murder-suicide"""
" Arizona"""
"""42423"
"""42421"
"""42421"
"""Kalamazoo County"
" Mississippi"""
" Michigan"""
"""42420"
"""42420"
" CA car shooting"""
"""42409"
" Florida"""
"""42407"
" FL Strip club shooting"""
" CA street shooting"""
"""42406"
"""42400"
" AZ House Party shooting"""
" VA Family Murder Suicide"""
" Virginia"""
" VA Family Murder Suicide"""
" CA Mexican restaurant shooting"""
"""42392"
"""42392"
 VA
" DE robbery"""
" Tennessee"""
" Florida"""
" Nebraska"""
"""San Bernardino"
" California"""
"""Colorado Springs"
" Colorado"""
" Ohio"""
" Minnesota"""
" Texas"""
" Florida"""
" GA"""
" Maine"""
"""Colorado Springs"
"""Colorado Springs"
" Ohio"""
"""Flagstaff"
"""Roseburg"
"""Roseburg"
" Florida"""
"""Greenville"
" South Dakota"""
" Minnesota"""
" Tennessee"""
"""Roanoke"
"""Rochester"
3
" Texas"""
" Louisiana"""
"""Suwanee"
"""Chattanooga"
" Chattanooga"""
"""River Forest"
"""Morven"
"""Charleston"
"""Charleston"
"""Miami Gardens"
"""Menasha"
"""Deer Lodge"
"""Cleveland"
"""Conyers"
"""Decatur"
"""Tucson"
"""Newark"
3
"""Menasha"
"""Milwaukee"
"""Gates"
"""Killeen"
"""Phoenix"
"""Rome"
"""Indianapolis"
"""Daytona Beach"
"""Tulsa"
"""Panama City Beach"
"""Little Water"
"""Mesa"
"""Cottonwood"
"""Brookhaven"
"""Tarboro"
"""Birmingham"
"""Tyrone"
"""Charlotte"
"""Clarkesville"
"""Killeen"
"""Chapel Hill"
"""New Port Richey"
"""Monroeville"
"""Douglasville"
" North Carolina"""
"""Syracuse"
"""LaGrange"
"""New York City"
"""Omaha"
"""Moscow"
"""Memphis"
 Souderton
"""Morgantown"
"""Tallahassee"
"""Marysville"
